#,Company Name,Website,LinkedIn Profile,JS Technologies Used
114,Walton Hi-Tech Industries Ltd.,https://waltonbd.com/,,"ReactJS, VueJS"
115,weDevs Ltd,https://wedevs.com,,VueJs
116,Welldev (Switzerland),https://www.welldev.io/,https://www.linkedin.com/company/welldevintl/,ReactJS
117,Workspace InfoTech Limited,https://www.workspaceit.com,,"Angular, ReactJS"
118,WPDeveloper,https://wpdeveloper.com,,"JavaScript, Vue.js, ReactJS"
119,WPCommerz,https://wpcommerz.com/,,"JavaScript, Vue.js, ReactJS"
120,XpeedLab,https://xpeedlab.tech/,,"nodeJS, ReactJS, Angular"
121,Zaynax Limited,http://www.zaynax.com,,"JavaScript, Node, React, Next"
122,YOTECH Limited,https://www.yotech.ltd,,"JavaScript, Node, Angular, React, Next"
123,6amTech,https://6amtech.com,,React
124,6sense Technologies,https://6sensehq.com/,,"React, Next Js, Node Js"
125,bkash,https://www.bkash.com,,JavaScript
126,Bongo,https://bongobd.com/,,"JavaScript, Node, React"
127,Daraz Bangladesh,https://careers.daraz.com/,,"Vue, Node, GraphQL, Angular"
128,LightCastle Partners,https://www.lightcastlebd.com,,"JavaScript, React, Node"
129,ME SOLshare Ltd.,https://me-solshare.com/,,JavaScript (ReactJS)
130,ShareTrip,https://sharetrip.net/,,"NodeJS, ReactJS"
131,Shopup,https://shopup.com.bd/,,"JavaScript, Node, React"
132,Telenor Health A/S,https://telenorhealth.com,,"Nodejs (Express, Socket.io), JavaScript (React)"
133,TruckLagbe,https://trucklagbe.com,,"JavaScript, Node, Angular"
134,UPAY (UCB Fintech),https://www.upaybd.com/,,"JavaScript, React, Node"
135,Zero Byte,https://zero-byte.xyz/,,"Express, React, NextJS"
,,,,
Total,129,,,
